# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
83104	Physical	pH, wet atmospheric deposition, unfiltered, calculated, standard units		pH	std units
83106	Physical	pH, wet atmospheric deposition, unfiltered, field, standard units		pH	std units
83107	Physical	pH, wet atmospheric deposition, unfiltered, lab, standard units		pH	std units
83150	Physical	Specific conductance, wet atmospheric deposition, filtered, calculated, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83151	Physical	Specific conductance, wet atmospheric deposition, unfiltered, calculated, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83153	Physical	Specific conductance, wet atmospheric deposition, filtered, field, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83154	Physical	Specific conductance, wet atmospheric deposition, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83155	Physical	Specific conductance, wet atmospheric deposition, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83156	Physical	Specific conductance, wet atmospheric deposition, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83177	Physical	Atmospheric deposition, wet, liters		Atmospheric deposition, wet fall	l
83205	Physical	Atmospheric deposition type, bulk, code			code
83386	Physical	pH, bulk atmospheric deposition, unfiltered, calculated, standard units		pH	std units
83388	Physical	pH, bulk atmospheric deposition, unfiltered, field, standard units		pH	std units
83389	Physical	pH, bulk atmospheric deposition, unfiltered, laboratory, standard units		pH	std units
83432	Physical	Specific conductance, bulk atmospheric deposition, filtered, calculated, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83433	Physical	Specific conductance, bulk atmospheric deposition, unfiltered, calculated, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83435	Physical	Specific conductance, bulk atmospheric deposition, filtered, field, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83436	Physical	Specific conductance, bulk atmospheric deposition, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83437	Physical	Specific conductance, bulk atmospheric deposition, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83438	Physical	Specific conductance, bulk atmospheric deposition, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
83459	Physical	Atmospheric deposition, bulk, liters			l
84179	Physical	Ignitability, bed sediment, dry, yes or no, code			code
84180	Physical	Soil horizon (U.S. Dept. of Agriculture Soil Conservation Service, Soil Survey Manual, 1993), code			code
85310	Physical	Depth of lake, maximum, meters		Depth	m
85311	Physical	Depth of lake, mean, meters		Depth	m
85328	Physical	Depth to 1 percent of surface light, meters		Light attenuation, depth at 99%	m
85540	Physical	Air, water, dissolved, volume percent of dissolved gases	132259-10-0		%
85541	Physical	Inert gases, water, dissolved, volume percent of dissolved gases		Inert gases	%
85555	Physical	Gas/water ratio, cubic feet per barrel			ft3/barrel
85557	Physical	Temperature, low saturation, degrees Celsius			deg C
85558	Physical	Temperature, high saturation, degrees Celsius			deg C
85559	Physical	Pressure, low saturation, pounds per square inch			psi
85560	Physical	Pressure, high saturation, pounds per square inch			psi
85583	Physical	Temperature, intragravel water, degrees Celsius		Temperature, water	deg C
85588	Physical	Gross heating value of dissolved hydrocarbons, dry, calculated, British thermal units per cubic foot at 60 degrees Fahrenheit and 14.73 pounds per square inch absolute			Btu/ft3
85599	Physical	Rainfall, total for defined period, centimeters			cm/sample
85822	Physical	Moisture content, biota, tissue, wet weight, percent of total weight		Moisture content	%
90010	Physical	Temperature, area-weighted-average, degrees Celsius			deg C
90034	Physical	Depth to 1 percent of surface light, cross section average, feet			ft
90077	Physical	Transparency, water, in situ, Secchi disc, cross section average, inches		Water transparency, Secchi disc	in
90094	Physical	Specific conductance, water, unfiltered, area weighted average, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
90095	Physical	Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
90096	Physical	Specific conductance, water, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
90198	Physical	Depth to 10 percent surface light, cross section average, feet			ft
90199	Physical	Depth to 50 percent surface light, cross section average, feet		Light attenuation, depth at 50%	ft
90200	Physical	Incident light intensity, 400-700 nanometers, cross-sectional average, microeinsteins per square meter per second			uE/m2/sec
90400	Physical	pH, water, area weighted average, standard units		pH	std units
90860	Physical	Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius		Salinity	PSS
90862	Physical	Salinity, water, unfiltered, Practical Salinity Scale		Salinity	PSS
91011	Physical	Solids settleable in 15 minutes, water, unfiltered, milliliters per liter		Settleable solids	ml/l
91016	Physical	Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, short tons per day		Biochemical oxygen demand, standard conditions	tons/day
91017	Physical	Suspended solids dried at 110 degrees Celsius, water, unfiltered, short tons per day		Total suspended solids	tons/day
91055	Physical	Suspended solids dried at 105 degrees Celsius, water, unfiltered, short tons per day		Total suspended solids	tons/day
91056	Physical	Loss on ignition of suspended solids, water, unfiltered, short tons per day		Volatile Suspended Solids	tons/day
91146	Physical	Pump rate, gallons per minute			gal/min
91155	Physical	Moisture content, bed sediment smaller than 63 microns, wet sieved (native water), recoverable, dry weight, percent			%
91156	Physical	Moisture content, bed sediment, dry weight, percent			%
95202	Physical	Phycocyanin fluorescence (fPC), water, in situ, cells per milliliter			#/ml
95902	Physical	Noncarbonate hardness, water, milligrams per liter as calcium carbonate		Hardness, non-carbonate	mg/l CaCO3
99019	Physical	Water level, depth below land surface, meters		Depth, from ground surface to well water level	m
99020	Physical	Elevation above NGVD 1929, meters			m
99060	Physical	Discharge, cubic meters per second			m3/sec
99061	Physical	Discharge, instantaneous, cubic meters per second		Stream flow, instantaneous	m3/sec
99064	Physical	Water surface elevation difference between two locations, feet			ft
99065	Physical	Gage height, above datum, meters		Gage height	m
99066	Physical	Hyporheic flux of water from groundwater to surface water, milliliters per square centimeter per day			ml/cm2/day
99067	Physical	Difference between observed and predicted water surface elevation, feet			ft
99227	Physical	Primary water level, Aquatrak, distance from measuring point to water surface, meters			m
99231	Physical	Electrical resistance, ohms			ohms
99232	Physical	Volumetric soil moisture content period, for internal control of sensor, milliseconds			ms
99243	Physical	Distance to snow surface from sensor, centimeters			cm
99401	Physical	Dissolved solids, water, filtered, estimated by regression equation, milligrams per liter		Total dissolved solids	mg/l
99402	Physical	Suspended solids, water, unfiltered, estimated by regression equation, milligrams per liter		Total suspended solids	mg/l
99403	Physical	Total solids, water, unfiltered, estimated by regression equation, milligrams per liter		Total solids	mg/l
99772	Physical	Precipitation, millimeters		Precipitation	mm
99872	Physical	Turbidity, water, unfiltered, laboratory, Hach 2100AN, nephelometric turbidity units		Turbidity	NTU
99974	Physical	Specific conductance, 1 meter below water surface, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
99975	Physical	pH, 1 meter below water surface, standard units		pH	std units
99976	Physical	Temperature, 1 meter below water surface, degrees Celsius		Temperature, water	deg C
99978	Physical	Specific conductance, water, 1 meter above bottom, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
99979	Physical	pH, water, 1 meter above bottom, standard units		pH	std units
99980	Physical	Temperature, water, 1 meter above bottom, degrees Celsius		Temperature, water	deg C
99982	Physical	Specific conductance, water, mid-depth of water column, microsiemens per centimeter at 25 degrees Celsius		Specific conductance	uS/cm @25C
99983	Physical	pH, water, mid-depth of water column, standard units		pH	std units
99984	Physical	Temperature, water, mid-depth of water column, degrees Celsius		Temperature, water	deg C
99986	Physical	Solar radiation (average flux density on a horizontal surface during measurement interval), watts per square meter		Solar irradiation, local	W/m2
99987	Physical	Solar radiation (total flux density on a horizontal surface during measurement interval), megajoules per square meter			MJ/m2
99988	Physical	Photosynthetically active radiation (average flux density on a horizontal surface during measurement interval), micromoles of photons per square meter per second		Light, photosynthetic active radiation (PAR)	umol/m2/s
99989	Physical	Photosynthetically active radiation (total flux density on a horizontal surface during measurement interval), millimoles of photons per square meter			mmol/m2
99997	Physical	Photosynthetically active radiation (PAR) in water at the 1% light level, micromoles of photons per square meter per second			umol/m2/s
00910	Inorganics, Major, Metals	Calcium, water, unfiltered, milligrams per liter as calcium carbonate	7440-70-2	Calcium	mg/l CaCO3
00915	Inorganics, Major, Metals	Calcium, water, filtered, milligrams per liter	7440-70-2	Calcium	mg/l
00916	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
00917	Inorganics, Major, Metals	Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
00918	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
00920	Inorganics, Major, Metals	Magnesium, water, unfiltered, milligrams per liter as calcium carbonate	7439-95-4	Magnesium	mg/l CaCO3
00921	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
00923	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
00924	Inorganics, Major, Metals	Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
00925	Inorganics, Major, Metals	Magnesium, water, filtered, milligrams per liter	7439-95-4	Magnesium	mg/l
00926	Inorganics, Major, Metals	Magnesium, suspended sediment, total, milligrams per liter	7439-95-4	Magnesium	mg/l
00927	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
00929	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
00930	Inorganics, Major, Metals	Sodium, water, filtered, milligrams per liter	7440-23-5	Sodium	mg/l
00931	Inorganics, Major, Metals	Sodium adsorption ratio (SAR), water, number		Sodium adsorption ratio	None
00932	Inorganics, Major, Metals	Sodium fraction of cations, water, percent in equivalents of major cations		Sodium, percent total cations	%
00933	Inorganics, Major, Metals	Sodium plus potassium, water, filtered, milligrams per liter as sodium		Sodium plus potassium	mg/l as Na
00934	Inorganics, Major, Metals	Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
00935	Inorganics, Major, Metals	Potassium, water, filtered, milligrams per liter	7440-09-7	Potassium	mg/l
00937	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
00938	Inorganics, Major, Metals	Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
00939	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
01430	Inorganics, Major, Metals	Calcium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
01433	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
01435	Inorganics, Major, Metals	Potassium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
01437	Inorganics, Major, Metals	Sodium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
01474	Inorganics, Major, Metals	Sodium, bed sediment, total digestion, dry weight, percent	7440-23-5	Sodium	%
01475	Inorganics, Major, Metals	Potassium, bed sediment, total digestion, dry weight, percent	7440-09-7	Potassium	%
01476	Inorganics, Major, Metals	Calcium, bed sediment, total digestion, dry weight, percent	7440-70-2	Calcium	%
01477	Inorganics, Major, Metals	Magnesium, bed sediment, total digestion, dry weight, percent	7439-95-4	Magnesium	%
03932	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	7439-95-4	Magnesium	%
03935	Inorganics, Major, Metals	Potassium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	7440-09-7	Potassium	%
03943	Inorganics, Major, Metals	Sodium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	7440-23-5	Sodium	%
03954	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	7440-70-2	Calcium	%
04050	Inorganics, Major, Metals	Calcium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent	7440-70-2	Calcium	%
29828	Inorganics, Major, Metals	Calcium, soil, recoverable, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
29838	Inorganics, Major, Metals	Magnesium, soil, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
29851	Inorganics, Major, Metals	Sodium, soil, recoverable, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
30239	Inorganics, Major, Metals	Calcium, bed sediment, dry weight, percent	7440-70-2	Calcium	%
30240	Inorganics, Major, Metals	Calcium, suspended sediment, total digestion, dry weight, percent	7440-70-2	Calcium	%
30276	Inorganics, Major, Metals	Magnesium, bed sediment, dry weight, percent	7439-95-4	Magnesium	%
30277	Inorganics, Major, Metals	Magnesium, suspended sediment, total digestion, dry weight, percent	7439-95-4	Magnesium	%
30293	Inorganics, Major, Metals	Potassium, bed sediment, dry weight, percent	7440-09-7	Potassium	%
30294	Inorganics, Major, Metals	Potassium, suspended sediment, total digestion, dry weight, percent	7440-09-7	Potassium	%
30303	Inorganics, Major, Metals	Sodium, bed sediment, dry weight, percent	7440-23-5	Sodium	%
30304	Inorganics, Major, Metals	Sodium, suspended sediment, total digestion, dry weight, percent	7440-23-5	Sodium	%
34830	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7440-70-2	Calcium	%
34831	Inorganics, Major, Metals	Calcium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7440-70-2	Calcium	%
34832	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-70-2	Calcium	%
34833	Inorganics, Major, Metals	Calcium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7440-70-2	Calcium	%
34834	Inorganics, Major, Metals	Calcium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7440-70-2	Calcium	%
34900	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7439-95-4	Magnesium	%
34901	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7439-95-4	Magnesium	%
34902	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7439-95-4	Magnesium	%
34903	Inorganics, Major, Metals	Magnesium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7439-95-4	Magnesium	%
34904	Inorganics, Major, Metals	Magnesium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7439-95-4	Magnesium	%
34940	Inorganics, Major, Metals	Potassium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7440-09-7	Potassium	%
34941	Inorganics, Major, Metals	Potassium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7440-09-7	Potassium	%
34942	Inorganics, Major, Metals	Potassium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-09-7	Potassium	%
34943	Inorganics, Major, Metals	Potassium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7440-09-7	Potassium	%
34944	Inorganics, Major, Metals	Potassium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7440-09-7	Potassium	%
34960	Inorganics, Major, Metals	Sodium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7440-23-5	Sodium	%
34961	Inorganics, Major, Metals	Sodium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7440-23-5	Sodium	%
34962	Inorganics, Major, Metals	Sodium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-23-5	Sodium	%
34963	Inorganics, Major, Metals	Sodium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7440-23-5	Sodium	%
34964	Inorganics, Major, Metals	Sodium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7440-23-5	Sodium	%
49027	Inorganics, Major, Metals	Calcium, biota, tissue, recoverable, wet weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
49030	Inorganics, Major, Metals	Magnesium, biota, tissue, recoverable, wet weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
51177	Inorganics, Major, Metals	Calcium, soil, field, x-ray fluorescence screening method, parts per million	7440-70-2	Calcium	ppm
51178	Inorganics, Major, Metals	Potassium, soil, field, x-ray fluorescence screening method, parts per million	7440-09-7	Potassium	ppm
51363	Inorganics, Major, Metals	Calcium, bed sediment smaller than 150 um, dry sieved, lab, total digestion, dry weight, percent	7440-70-2		%
51379	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 150 um, dry sieved, lab, total digestion, dry weight, percent	7439-95-4		%
51387	Inorganics, Major, Metals	Potassium, bed sediment smaller than 150 um, dry sieved, lab, total digestion, dry weight, percent	7440-09-7		%
51391	Inorganics, Major, Metals	Sodium, bed sediment smaller than 150 um, dry sieved, lab, total digestion, dry weight, percent	7440-23-5		%
52143	Inorganics, Major, Metals	Potassium, soil, recoverable, dry weight, milligrams per kilogram	7440-09-7		mg/kg
52281	Inorganics, Major, Metals	Potassium, water, unfiltered, total, milligrams per liter	7440-09-7		ug/l
52284	Inorganics, Major, Metals	Sodium, water, unfiltered, total, milligrams per liter	7440-23-5		ug/l
52288	Inorganics, Major, Metals	Calcium, water, unfiltered, milligrams per liter	7440-70-2		mg/l
52289	Inorganics, Major, Metals	Magnesium, water, unfiltered, milligrams per liter	7439-95-4		mg/l
52290	Inorganics, Major, Metals	Sodium, water, unfiltered, milligrams per liter	7440-23-5		mg/l
52291	Inorganics, Major, Metals	Potassium, water, unfiltered, milligrams per liter	7440-09-7		mg/l
52330	Inorganics, Major, Metals	Calcium, bed sediment smaller than 2 millimeters, dry sieved, laboratory, total digestion, dry weight, percent	7440-70-2		%
52331	Inorganics, Major, Metals	Calcium, bed sediment smaller than 250 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-70-2		%
52362	Inorganics, Major, Metals	Potassium, bed sediment smaller than 250 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-09-7		%
52363	Inorganics, Major, Metals	Potassium, bed sediment smaller than 2 millimeters, dry sieved, laboratory, total digestion, dry weight, percent	7440-09-7		%
52370	Inorganics, Major, Metals	Sodium, bed sediment smaller than 2 millimeters, dry sieved, laboratory, total digestion, dry weight, percent	7440-23-5		%
52371	Inorganics, Major, Metals	Sodium, bed sediment smaller than 250 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-23-5		%
52501	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, micrograms per liter	7440-70-2		ug/l
52502	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, micrograms per liter	7439-95-4		ug/l
52503	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, micrograms per liter	7440-09-7		ug/l
52504	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, micrograms per liter	7440-23-5		ug/l
52505	Inorganics, Major, Metals	Calcium, water, unfiltered, micrograms per liter	7440-70-2		ug/l
52506	Inorganics, Major, Metals	Magnesium, water, unfiltered, micrograms per liter	7439-95-4		ug/l
52507	Inorganics, Major, Metals	Potassium, water, unfiltered, micrograms per liter	7440-09-7		ug/l
52508	Inorganics, Major, Metals	Sodium, water, unfiltered, micrograms per liter	7440-23-5		ug/l
52515	Inorganics, Major, Metals	Calcium, bed sediment, recoverable, dry weight, micrograms per kilogram	7440-70-2		ug/kg
52519	Inorganics, Major, Metals	Magnesium, bed sediment, recoverable, dry weight, micrograms per kilogram	7439-95-4		ug/kg
52522	Inorganics, Major, Metals	Potassium, bed sediment, recoverable, dry weight, micrograms per kilogram	7440-09-7		ug/kg
52524	Inorganics, Major, Metals	Sodium, bed sediment, recoverable, dry weight, micrograms per kilogram	7440-23-5		ug/kg
52528	Inorganics, Major, Metals	Calcium, water, unfiltered, total, milligrams per liter	7440-70-2		mg/l
52702	Inorganics, Major, Metals	Magnesium, bed sediment, total digestion, dry weight, milligrams per kilogram	7439-95-4		mg/kg
52704	Inorganics, Major, Metals	Potassium, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-09-7		mg/kg
52707	Inorganics, Major, Metals	Sodium, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-23-5		mg/kg
52713	Inorganics, Major, Metals	Calcium, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-70-2		mg/kg
52718	Inorganics, Major, Metals	Calcium, biota, tissue, total digestion, dry weight, milligrams per kilogram	7440-70-2		mg/kg
52719	Inorganics, Major, Metals	Magnesium, biota, tissue, total digestion, dry weight, milligrams per kilogram	7439-95-4		mg/kg
52720	Inorganics, Major, Metals	Potassium, biota, tissue, total digestion, dry weight, milligrams per kilogram	7440-09-7		mg/kg
52721	Inorganics, Major, Metals	Sodium, biota, tissue, total digestion, dry weight, milligrams per kilogram	7440-23-5		mg/kg
61715	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent	7439-95-4	Magnesium	%
61718	Inorganics, Major, Metals	Potassium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent	7440-09-7	Potassium	%
61720	Inorganics, Major, Metals	Sodium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent	7440-23-5	Sodium	%
62456	Inorganics, Major, Metals	Calcium, bed sediment, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
62457	Inorganics, Major, Metals	Potassium, bed sediment, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
62458	Inorganics, Major, Metals	Magnesium, bed sediment, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
62459	Inorganics, Major, Metals	Sodium, bed sediment, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
62921	Inorganics, Major, Metals	Calcium, suspended sediment, recoverable, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
62922	Inorganics, Major, Metals	Magnesium, suspended sediment, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
64842	Inorganics, Major, Metals	Calcium, biota, tissue, recoverable, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
64844	Inorganics, Major, Metals	Magnesium, biota, tissue, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
64845	Inorganics, Major, Metals	Potassium, biota, tissue, recoverable, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
64846	Inorganics, Major, Metals	Sodium, biota, tissue, recoverable, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
65171	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
65174	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
65176	Inorganics, Major, Metals	Potassium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
65178	Inorganics, Major, Metals	Sodium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
65198	Inorganics, Major, Metals	Potassium, solids, recoverable, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
67881	Inorganics, Major, Metals	Calcium, solids, recoverable, dry weight, percent	7440-70-2		%
67887	Inorganics, Major, Metals	Magnesium, solids, recoverable, dry weight, percent	7439-95-4		%
67892	Inorganics, Major, Metals	Potassium, solids, recoverable, dry weight, percent	7440-09-7		%
67894	Inorganics, Major, Metals	Sodium, solids, recoverable, dry weight, percent	7440-23-5		%
67906	Inorganics, Major, Metals	Calcium, solids, total digestion, dry weight, percent	7440-70-2		%
67914	Inorganics, Major, Metals	Magnesium, solids, total digestion, dry weight, percent	7439-95-4		%
67919	Inorganics, Major, Metals	Potassium, solids, total digestion, dry weight, percent	7440-09-7		%
67922	Inorganics, Major, Metals	Sodium, solids, total digestion, dry weight, percent	7440-23-5		%
68810	Inorganics, Major, Metals	Potassium, rock, total (whole-rock analysis), dry weight, percent	7440-09-7		%
68811	Inorganics, Major, Metals	Calcium, rock, total (whole-rock analysis), dry weight, percent	7440-70-2		%
68924	Inorganics, Major, Metals	Calcium, soil, exchangeable in 1.0 M ammonium chloride, recoverable, dry weight, centimole per kilogram	7440-70-2	Calcium	cmol/kg
68925	Inorganics, Major, Metals	Magnesium, soil, exchangeable in 1.0 M ammonium chloride, recoverable, dry weight, centimole per kilogram	7439-95-4	Magnesium	cmol/kg
68926	Inorganics, Major, Metals	Sodium, soil, exchangeable in 1.0 M ammonium chloride, recoverable, dry weight, centimole per kilogram	7440-23-5	Sodium	cmol/kg
68927	Inorganics, Major, Metals	Potassium, soil, exchangeable in 1.0 M ammonium chloride, recoverable, dry weight, centimole per kilogram	7440-09-7	Potassium	cmol/kg
81201	Inorganics, Major, Metals	Calcium, water, dissolved, short tons per day	7440-70-2	Calcium	tons/day
81202	Inorganics, Major, Metals	Magnesium, water, dissolved, short tons per day	7439-95-4	Magnesium	tons/day
81203	Inorganics, Major, Metals	Sodium, water, dissolved, short tons per day	7440-23-5	Sodium	tons/day
81204	Inorganics, Major, Metals	Potassium, water, dissolved, short tons per day	7440-09-7	Potassium	tons/day
81357	Inorganics, Major, Metals	Calcium, suspended sediment, milligrams per liter	7440-70-2	Calcium	mg/l
82032	Inorganics, Major, Metals	Calcium, water, unfiltered, total, micrograms per liter	7440-70-2		ug/l
82033	Inorganics, Major, Metals	Magnesium, water, unfiltered, total, micrograms per liter	7439-95-4		ug/l
82034	Inorganics, Major, Metals	Potassium, water, unfiltered, total, micrograms per liter	7440-09-7		ug/l
82035	Inorganics, Major, Metals	Sodium, water, unfiltered, total, micrograms per liter	7440-23-5		ug/l
82425	Inorganics, Major, Metals	Potassium, dry atmospheric deposition, recoverable, milligrams per kilogram	7440-09-7	Potassium	mg/kg
82426	Inorganics, Major, Metals	Potassium, insoluble, dry atmospheric deposition, milligrams per kilogram	7440-09-7	Potassium	mg/kg
82427	Inorganics, Major, Metals	Potassium, soluble, dry atmospheric deposition, milligrams per kilogram	7440-09-7	Potassium	mg/kg
82428	Inorganics, Major, Metals	Sodium, dry atmospheric deposition, recoverable, milligrams per kilogram	7440-23-5	Sodium	mg/kg
82429	Inorganics, Major, Metals	Sodium, insoluble, dry atmospheric deposition, milligrams per kilogram	7440-23-5	Sodium	mg/kg
